Images,Titles,Brands,Actual Prices,Sales Prices,Discounts,Categories
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/c/n/c/m-white-black-sky-blue-kroptee-original-imahc4d48hj5vbnw.jpeg?q=70,Men Colorblock Round Neck Pure Cotton Multicolor T-Shir...,Kroptee,₹999,₹315,68% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/f/f/i/s-tbl-gyrnplaind164-tripr-original-imah8cnn82bx8mvh.jpeg?q=70,Pack of 2 Men Solid Round Neck Cotton Blend Multicolor ...,TRIPR,"₹1,499",₹335,77% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/k/4/k/l-ausk0578-ausk-original-imahcw5fwvmzht8v.jpeg?q=70,"Men Checkered Polo Neck Cotton Blend Dark Blue, White T...",AUSK,"₹1,499",₹293,80% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/3/2/j/xl-ts36-vebnor-original-imahbyhrhfwdzptd.jpeg?q=70,Men Solid Polo Neck Polyester Pink T-Shirt,VeBNoR,₹999,₹257,74% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/g/n/m/s-mario-combraided-original-imaha894br7xjtqq.jpeg?q=70,Men Self Design Polo Neck Polycotton Black T-Shirt,COMBRAIDED,"₹1,499",₹294,80% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/a/8/w/s-tpgrblhn-dp-d145-tripr-original-imahcgggbmzpvcs3.jpeg?q=70,"Men Solid Mandarin Collar Cotton Blend Dark Green, Blac...",TRIPR,"₹1,999",₹251,87% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/j/e/u/l-fmt111-zipneck-bk-force-original-imah8a7xwdhzjrz6.jpeg?q=70,Men Solid Zip Neck Cotton Blend Black T-Shirt,Force,"₹1,999",₹318,84% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/g/n/o/m-723-2-5-7-8-ftx-original-imah7fxge5kae8cy.jpeg?q=70,"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, ...",FTX,"₹1,499",₹371,75% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-t-shirt/k/e/c/l-tblhnful-spy-d144-tripr-original-imahcjtu6ghwgpk7.jpeg?q=70,Men Solid Henley Neck Cotton Blend Black T-Shirt,TRIPR,"₹1,999",₹235,88% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/w/c/t/s-fmt336-stripe-pink-force-original-imah6tzkgcazg6gf.jpeg?q=70,Men Striped Round Neck Polyester Pink T-Shirt,Force,"₹1,999",₹308,84% off,Hot Deal
